deadly_accidents,deaths,jurisdiction,other_accidents,other_injured,serious_accidents,seriously_injured,year
17,19,ΓE.Π.Α.Δ. ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,160,209,22,23,2019
54,57,ΓE.Π.Α.Δ. ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,362,494,37,41,2019
16,17,ΓE.Π.Α.Δ. ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ,47,68,5,8,2019
17,17,ΓE.Π.Α.Δ. ΗΠΕΙΡΟΥ,59,102,17,19,2019
38,40,ΓE.Π.Α.Δ. ΘΕΣΣΑΛΙΑΣ,157,232,34,39,2019
15,15,ΓE.Π.Α.Δ. ΙΟΝΙΩΝ ΝΗΣΩΝ,137,190,18,19,2019
45,48,ΓE.Π.Α.Δ. ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ,285,431,30,36,2019
46,49,ΓE.Π.Α.Δ. ΚΡΗΤΗΣ,75,131,35,43,2019
36,37,ΓE.Π.Α.Δ. ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,338,458,56,68,2019
59,61,ΓE.Π.Α.Δ. ΠΕΛΟΠΟΝΝΗΣΟΥ,375,541,31,36,2019
39,42,ΓE.Π.Α.Δ. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,385,523,32,46,2019
